Late show up percentage,Project initiative percentage,Percentage of project delivery on time,Percentage of emails exchanged,Percentage of responsiveness,Percentage of professional email response,Percentage of sharing ideas,Percentage of helping colleagues,Percentage of entrepreneurial posts on LinkedIn,Percentage of Facebook comments,Quitting
0.477912104,0.517592727,0.255846074,0.44685595,0.348797266,0.064234965,0.327525701,0.231719308,0.338213851,0.471766758,1
0.298067677,0.403864054,0.23483597,0.490998872,0.456119352,0.274871967,0.268036412,0.480549974,0.168622138,0.680091046,0
0.353470096,0.545904341,0.483996365,0.509837126,0.907532582,0.326370689,0.9386569,0.575396858,0.389810828,0.514969516,0
0.684900473,0.678940247,0.310685866,0.49098604,0.619742371,0.436264281,0.785888766,0.727165298,0.761269288,0.409326268,1
0.714167226,0.365100996,0.294081764,0.392456219,0.687196399,0.314228799,0.57849181,0.233666308,0.722545843,0.621462682,1
0.426218167,0.777029932,0.601764638,0.613962174,0.593425371,0.532953714,0.69409748,0.660321603,0.095488625,0.708268741,0
0.497809122,0.582007637,0.582524061,0.151866661,0.510310031,0.118526013,0.434081346,0.30676062,0.491040627,0.375640408,0
0.414744514,0.464675128,0.466825056,0.12506336,0.470364657,0.557305023,0.600309861,0.70151356,0.565701081,0.626738712,0
0.389137665,0.734303864,0.394961134,0.183822351,0.319843059,0.576973647,0.412570283,0.682041236,0.495226553,0.467391406,0
0.386377787,0.052941326,0.464410188,0.563468728,0.835562846,0.443917015,0.64169957,0.200130061,0.774348626,0.272820309,1
0.717726936,0.638930044,0.288688207,0.384933974,0.540841288,0.323924776,0.340785308,0.201785337,0.579085744,0.639423896,1
0.575134592,0.699163656,0.46776225,0.367367153,0.84840126,0.377023375,0.441746863,0.631095964,0.130956906,0.62505181,0
0.328649384,0.584134507,0.53353924,0.221827903,0.521684479,0.217494391,0.733292057,0.534515045,0.316901059,0.586072808,0
0.503375109,0.63028938,0.252608111,0.54122864,0.699016089,0.295765245,0.50918104,0.153834513,0.773777807,0.382112546,1
0.405111776,0.355506098,0.338984142,0.583331202,0.401569716,0.840668169,0.634115237,0.903143091,0.495602755,0.627367557,0
0.573412134,0.433432654,0.276327473,0.264337193,0.460748928,0.506902868,0.647495,0.638029164,0.560637574,0.784098715,1
0.349776682,0.673099682,0.532847328,0.396242707,0.684492466,0.684154715,0.207400831,0.848231408,0.315788736,0.48556364,0
0.468783223,0.563416052,0.747495001,0.183011852,0.717938719,0.596627764,0.510811149,0.622106386,0.492119875,0.678057784,0
0.458456884,0.599337854,0.485334017,0.392354009,0.714530378,0.797218811,0.305376048,0.28752582,0.401619988,0.808544011,0
0.383812602,0.684382444,0.420281883,0.356664427,0.713326445,0.441116887,0.570440731,0.916267473,0.248418589,0.365962897,0
0.696959294,0.876514397,0.484130316,0.5221054,0.823038733,0.760475165,0.424539138,0.660520431,0.244544224,0.441115994,0
0.283110935,0.644649498,0.581055513,0.474361033,0.305197504,0.624753367,0.463238578,0.970725219,0.43132927,0.446088741,0
0.314883188,0.116466474,0.459613663,0.27643901,0.387320787,0.592564653,0.607083839,0.708306283,0.314492749,0.677305936,0
0.712969798,0.347327796,0,0.636885178,0.509934009,0.478218012,0.410803058,0.488045504,0.676041968,0.469375908,1
0.604601951,0.662231012,0.307007985,0.203233006,0.768346077,0.588184781,0.547221281,0.560583106,0.282223884,0.589008212,0
0.260072491,0.630348246,0.608446558,0.683670229,0.896693003,0.49289336,0.568819977,0.490002276,0.584143616,0.758114571,0
0.440435237,0.300356316,0.427445224,0.541336698,0.653824762,0.809089429,0.431931385,0.38171547,0.891320947,0.628784102,1
0.476933778,0.354966499,0.229655284,0.392809587,0.497466767,0.361129672,0.168683248,0.267827369,0.408251302,0.719234552,1
0.325305269,0.430508647,0.31244528,0.27323105,0.602432243,0.686576363,0.477127306,0.530043316,0,0.420605028,0
0.787576032,0.540206243,0.383584424,0.576230039,0.68157812,0.617662334,0.239422584,0.141241962,0.668066841,0.61116609,1
0.774025616,0.487514102,0.192848951,0.576444359,0.49605108,0.447299481,0.69835708,0.406816907,0.655607732,0.745680208,1
0.413343062,0.111557257,0.140486418,0.365813419,0.261107845,0.514451442,0.340807624,0.363892811,0.294351227,0.080808799,1
0.924822564,0.077736702,0.280577553,0.45715125,0.603329201,0.631253662,0.603879697,0.256348836,0.578507799,0.25380745,1
